                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0642,                 3.5899,                 4.3332,                0.00336,                0.80597,                0.01868,                 0.0067,                 2.7268,                 3.7998,                 4.1587,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.2476,                  3.566,                 4.2884,                0.00343,                 0.8209,                0.10106,                 0.0275,                 2.7261,                 3.8009,                 4.1581,             0.00013538,             0.00013538,             0.00013538
                      3,                 3.1982,                 3.5057,                  4.297,                0.00361,                 0.8209,                0.11757,                0.02979,                 2.7247,                 3.7998,                 4.1567,             0.00020548,             0.00020548,             0.00020548
                      4,                 3.1296,                 3.5211,                 4.2452,                0.00359,                0.83582,                0.08411,                0.02447,                 2.7216,                 3.7972,                  4.154,              0.0002703,              0.0002703,              0.0002703
                      5,                 3.1284,                 3.5991,                 4.1968,                0.00357,                 0.8209,                0.08906,                  0.024,                 2.7189,                 3.7947,                 4.1517,             0.00032984,             0.00032984,             0.00032984
                      6,                 3.1265,                 3.4461,                 4.1924,                0.00364,                0.83582,                 0.0707,                0.01871,                 2.7147,                 3.7915,                 4.1482,              0.0003841,              0.0003841,              0.0003841
                      7,                 3.0679,                 3.3804,                 4.1754,                0.00364,                0.83582,                0.04417,                0.01163,                 2.7068,                 3.7915,                 4.1422,             0.00043308,             0.00043308,             0.00043308
                      8,                 3.1624,                 3.3942,                 4.1653,                0.00356,                 0.8209,                0.06623,                  0.018,                 2.6995,                 3.7865,                  4.134,             0.00047678,             0.00047678,             0.00047678
                      9,                 3.0999,                 3.3975,                 4.1187,                0.00361,                0.83582,                0.10882,                0.03126,                 2.6884,                 3.7798,                 4.1231,              0.0005152,              0.0005152,              0.0005152
                     10,                 3.1733,                 3.4377,                 4.1183,                0.00345,                0.80597,                0.15619,                0.03971,                 2.6798,                 3.7678,                 4.1099,             0.00054834,             0.00054834,             0.00054834
                     11,                 3.1056,                 3.3995,                 4.0816,                0.00352,                 0.8209,                0.09033,                0.02709,                 2.6737,                 3.7465,                 4.0999,              0.0005762,              0.0005762,              0.0005762
                     12,                 3.0024,                 3.4166,                 4.0596,                0.00351,                 0.8209,                0.08992,                0.02834,                  2.675,                 3.7329,                 4.1004,             0.00059878,             0.00059878,             0.00059878
                     13,                 3.0392,                 3.3425,                 3.9939,                0.00349,                 0.8209,                0.10298,                0.03779,                 2.7001,                 3.7245,                 4.1266,             0.00061608,             0.00061608,             0.00061608
                     14,                 3.0261,                  3.239,                 3.9734,                0.00347,                 0.8209,                0.08759,                0.03525,                 2.7165,                 3.7222,                 4.1474,              0.0006281,              0.0006281,              0.0006281
                     15,                 2.9612,                 3.2003,                 3.9439,                0.00352,                0.83582,                0.06824,                0.02851,                 2.7502,                 3.6812,                 4.1876,             0.00063484,             0.00063484,             0.00063484
                     16,                 2.9134,                 3.2673,                 3.8986,                 0.0035,                0.83582,                0.06285,                0.02532,                 2.7426,                 3.6801,                  4.183,              0.0006363,              0.0006363,              0.0006363
                     17,                 3.1198,                   3.28,                 3.8803,                0.00344,                 0.8209,                0.05898,                0.02495,                 2.6985,                 3.6878,                 4.1286,             0.00063248,             0.00063248,             0.00063248
                     18,                 3.0548,                 3.2084,                 3.8754,                0.00349,                0.83582,                0.05675,                0.02471,                 2.6426,                 3.6599,                 4.0307,             0.00062338,             0.00062338,             0.00062338
                     19,                 2.8917,                  3.288,                 3.8127,                0.00345,                 0.8209,                0.05147,                0.02196,                 2.6579,                  3.619,                  4.079,               0.000609,               0.000609,               0.000609
                     20,                  2.893,                  3.218,                 3.7536,                0.00346,                 0.8209,                0.03245,                0.01259,                 2.7305,                 3.6006,                 4.1979,             0.00058934,             0.00058934,             0.00058934
                     21,                 2.6543,                 3.8224,                 3.6827,                0.00355,                0.83582,                0.01848,                0.00663,                 2.8024,                 3.6396,                 4.3152,              0.0005644,              0.0005644,              0.0005644
                     22,                 2.7096,                 3.6931,                 3.6483,                 0.0035,                 0.8209,                0.01866,                0.00659,                 2.8149,                 3.6522,                 4.3386,             0.00053418,             0.00053418,             0.00053418
                     23,                 2.4947,                 3.6012,                 3.5302,                0.00356,                0.83582,                0.02228,                0.00783,                 2.7979,                 3.6561,                 4.3165,             0.00049868,             0.00049868,             0.00049868
                     24,                 2.6349,                 3.5503,                 3.5594,                0.00356,                0.83582,                0.04167,                0.01814,                  2.759,                 3.6305,                 4.2341,              0.0004579,              0.0004579,              0.0004579
                     25,                 2.6756,                 3.5925,                 3.6221,                0.04891,                0.10448,                0.05154,                0.02404,                 2.7349,                  3.619,                 4.1938,             0.00041184,             0.00041184,             0.00041184
                     26,                 2.5004,                  3.456,                  3.577,                0.11273,                0.04478,                0.05997,                0.03025,                 2.7384,                 3.6152,                 4.1799,                0.00035,                0.00035,                0.00035
                     27,                 2.4732,                 3.4939,                 3.4992,                 0.1962,                0.02985,                0.06082,                 0.0261,                 2.7633,                 3.6061,                 4.1991,                0.00035,                0.00035,                0.00035
                     28,                 2.3459,                 3.4514,                 3.4846,                0.13322,                0.04478,                0.06457,                0.02586,                 2.7798,                 3.6074,                 4.2272,               0.000284,               0.000284,               0.000284
                     29,                 2.5274,                  3.557,                 3.6013,                0.00358,                0.83582,                0.08898,                0.03493,                 2.7738,                 3.6104,                 4.2209,               0.000218,               0.000218,               0.000218
                     30,                 2.4986,                 3.4104,                 3.4434,                0.00359,                0.83582,                0.09876,                0.03619,                 2.7627,                 3.6206,                 4.2102,               0.000152,               0.000152,               0.000152
